Power(watts),Distance(metres),Heartrate(BPM),Speed(m/s),WindSpeed (m/s),Cadaence(revs/s),Elevation(meters),Hill slope(%),Temperature(C),Cluster
311.88,7290.3,165,2.7716,0,0.81667,213.06,14.49,25,A
311.82,7306.4,165,2.8163,0,0.81667,213.06,14.19,25,A
309.83,7306.4,165,2.7716,0,0.85,213.06,14.29,25,A
314.84,7306.4,166,2.7269,0,0.83333,213.06,13.99,25,A
311.75,7306.4,166,2.8163,0,0.81667,214.58,13.89,25,A
306.75,7306.4,166,2.8163,0,0.81667,214.58,14.09,25,A
309.81,7322.5,166,2.7269,0,0.81667,214.58,14.19,25,A
320.72,7322.5,166,2.8163,0,0.81667,214.58,14.68,25,A
337.76,7322.5,166,2.7716,0,0.81667,215.8,15.58,25,A
341.79,7322.5,166,2.7269,0,0.81667,215.8,16.28,25,A
354.73,7322.5,166,2.8163,1.6093,0.81667,215.8,16.48,25,A
357.7,7322.5,166,2.861,1.3858,0.83333,215.8,16.88,25,A
352.73,7338.6,167,2.8163,1.3411,0.83333,217.02,16.58,25,A
342.72,7338.6,167,2.8163,1.967,0.83333,217.02,15.98,25,A
338.69,7338.6,167,2.861,1.7882,0.81667,217.02,15.68,25,A
329.77,7338.6,167,2.7716,0,0.81667,217.02,15.39,25,A
338.78,7338.6,167,2.7716,0,0.81667,218.85,15.39,25,A
331.72,7338.6,166,2.861,0,0.81667,218.85,15.19,25,A
312.72,7354.7,167,2.861,0,0.83333,218.85,14.49,25,A
302.73,7354.7,167,2.861,0,0.85,218.85,13.79,25,A
298.7,7354.7,167,2.9058,1.6093,0.85,220.07,12.99,25,A
296.72,7354.7,167,2.9058,2.3693,0.85,220.07,12.99,25,A
287.76,7354.7,167,2.861,1.8329,0.85,220.07,12.79,25,A
297.74,7370.8,167,2.9058,1.8329,0.85,220.07,12.89,25,A
289.73,7370.8,168,2.9505,0,0.86667,220.98,12.89,25,A
296.75,7370.8,167,2.9505,1.4752,0.86667,220.98,12.59,25,A
302.79,7370.8,168,2.9505,1.8776,0.86667,220.98,13.19,25,A
312.85,7370.8,167,2.9058,2.2799,0.85,220.98,13.69,25,A
320.95,7370.8,167,2.8163,2.2799,0.83333,223.11,14.7,25,A
339.96,7386.9,167,2.861,2.1458,0.83333,223.11,15.5,25,A
354.96,7386.9,167,2.9058,1.7882,0.85,223.11,16.4,25,A
351.03,7386.9,167,2.861,1.8776,0.85,223.11,16.4,25,A
360.07,7386.9,168,2.861,1.6987,0.85,224.03,16.6,25,A
357.07,7386.9,168,2.9058,0,0.83333,224.03,16.5,25,A
353.17,7386.9,168,2.8163,2.0117,0.85,224.03,16.11,25,A
362.19,7403,168,2.861,2.1905,0.83333,224.03,16.51,25,A
374.21,7403,168,2.9058,2.861,0.83333,225.25,16.71,25,A
362.28,7403,168,2.861,0,0.83333,225.25,17.01,25,A
354.38,7403,169,2.7716,0,0.81667,225.25,16.72,25,A
340.35,7403,169,2.9058,0,0.85,225.25,15.82,25,A
314.44,7419.1,168,2.861,0,0.85,225.86,14.62,25,A
302.47,7419.1,169,2.9058,0,0.85,225.86,13.43,25,A
288.5,7419.1,169,2.9505,0,0.86667,225.86,12.13,25,A
287.52,7419.1,169,3.0399,0,0.9,225.86,11.73,25,A
264.46,7419.1,169,3.2634,0,0.96667,227.38,10.73,25,A
243.44,7435.2,169,3.4422,2.2799,1.0167,227.38,10.04,25,A
223.49,7435.2,168,3.4869,2.4587,1.0333,227.38,9.04,25,A
209.55,7435.2,168,3.4869,2.861,1.05,227.38,7.54,25,A
185.54,7435.2,168,3.6657,2.6375,1.0833,229.21,6.14,25,A
180.63,7435.2,168,3.7551,0,1.0833,229.21,5.15,25,A
177.69,7451.2,168,3.7551,0,1.1167,229.21,4.75,25,A
166.69,7451.2,168,3.9339,0,1.15,229.21,4.05,25,A
160.74,7451.2,168,3.9786,1.4752,1.1667,230.12,4.16,25,A
165.78,7451.2,168,4.0233,0,1.1833,230.12,4.26,25,A
177.88,7467.3,167,4.0681,0,1.2,230.12,4.56,25,A
181.92,7467.3,167,4.1128,1.5646,1.2,230.12,5.16,25,A
184.98,7467.3,167,4.0681,0,1.1833,231.04,5.77,25,A
189.03,7467.3,167,4.0681,0,1.1833,231.04,5.97,25,A
189.09,7483.4,167,3.9786,1.5646,1.1667,231.04,6.27,25,A
202.13,7483.4,167,3.9786,1.7435,1.1667,231.04,6.67,25,A
207.17,7483.4,167,3.9786,0,1.1667,232.26,6.67,25,A
215.21,7483.4,167,3.9339,0,1.1667,232.26,6.97,25,A
220.21,7499.5,167,3.9339,1.8329,1.15,232.26,7.17,25,A
227.25,7499.5,166,3.8892,1.9223,1.1333,232.26,7.67,25,A
236.3,7499.5,166,3.7998,1.8329,1.1,233.78,8.17,25,A
236.34,7499.5,166,3.7551,0,1.1,233.78,8.28,25,A
237.38,7515.6,166,3.7551,1.5646,1.1,233.78,8.48,25,A
241.42,7515.6,165,3.7104,0,1.0833,233.78,8.68,25,A
231.47,7515.6,166,3.5763,0,0.98333,234.09,8.68,25,A
288.55,7515.6,166,3.2634,0,0.95,234.09,9.38,25,A
309.57,7515.6,165,3.0846,0,0.91667,234.09,10.48,25,A
315.62,7531.7,165,2.9505,0,0.85,234.09,11.58,25,A
325.65,7531.7,165,2.9058,2.414,0.83333,235.61,13.38,25,A
317.67,7531.7,165,2.8163,2.1905,0.83333,235.61,14.28,25,A
306.69,7531.7,165,2.8163,0,0.83333,235.61,14.38,25,A
293.68,7531.7,165,2.9505,0,0.85,235.61,13.58,25,A
272.7,7547.8,165,2.9952,1.6987,0.88333,237.13,11.89,25,A
255.68,7547.8,165,3.1293,1.967,0.91667,237.13,10.19,25,A
236.7,7547.8,165,3.3081,1.967,0.96667,237.13,8.19,25,A
241.72,7547.8,164,3.4422,2.5034,1.0333,237.13,7.39,25,A
245.7,7547.8,165,3.6657,3.2187,1.0833,238.66,6.49,25,A
228.73,7563.9,165,3.7998,2.9505,1.1167,238.66,6.29,25,A
215.77,7563.9,165,3.8445,3.3081,1.1167,238.66,6.29,25,A
220.82,7563.9,165,3.8445,3.7551,1.1167,238.66,6.19,25,A
221.82,7563.9,164,3.7551,4.0681,1.1167,240.49,6.79,25,A
223.86,7580,164,3.7104,4.0233,1.0833,240.49,7.19,25,A
231.91,7580,164,3.5763,2.9952,1.05,240.49,8.1,25,A
239.91,7580,164,3.5316,3.3528,1.05,240.49,8.7,25,A
251.96,7580,164,3.4422,4.4704,1,242.32,9.6,25,A
255.01,7580,164,3.3975,4.2916,0.98333,242.32,9.9,25,A
266.06,7596.1,164,3.4869,3.5763,1.0167,242.32,10.1,25,A
274.05,7596.1,164,3.3081,3.1293,0.96667,242.32,10.6,25,A
269.1,7596.1,164,3.2634,3.174,0.95,244.45,10.5,25,A
299.14,7596.1,164,3.0399,2.6375,0.9,244.45,11.21,25,A
318.14,7596.1,164,3.1293,2.861,0.9,244.45,12.01,25,A
323.19,7612.2,164,3.0399,1.6093,0.88333,244.45,12.81,25,A
342.25,7612.2,164,3.0399,1.8329,0.86667,245.67,14.21,25,A
357.24,7612.2,164,2.9505,1.8329,0.86667,245.67,15.41,25,A
385.3,7612.2,164,2.9505,1.6093,0.86667,245.67,17.01,25,E
388.37,7612.2,164,2.9952,1.7882,0.86667,245.67,17.62,25,E
383.37,7628.3,165,2.9505,2.414,0.85,247.19,18.12,25,E
373.41,7628.3,165,2.8163,2.0117,0.83333,247.19,17.92,25,E
366.43,7628.3,165,2.861,0,0.83333,247.19,17.02,25,E
358.5,7628.3,165,2.861,2.5034,0.83333,247.19,16.73,25,A
336.56,7628.3,165,2.8163,1.5646,0.83333,247.8,15.73,25,A
323.59,7628.3,165,2.861,1.5199,0.85,247.8,14.73,25,A
307.67,7644.4,165,2.9058,1.967,0.83333,247.8,13.83,25,A
290.75,7644.4,166,2.9058,2.1458,0.86667,247.8,12.64,25,A
282.78,7644.4,166,2.9505,0,0.86667,249.33,11.84,25,A
262.85,7644.4,166,2.9058,0,0.86667,249.33,11.34,25,A
270.95,7644.4,166,2.9952,2.8163,0.9,249.33,10.74,25,A
247.16,7660.5,167,3.5763,2.1905,1.0667,249.33,9.75,25,A
231.34,7660.5,167,3.8445,3.4869,1.1333,250.85,8.35,25,A
218.52,7660.5,167,4.0233,3.0846,1.2,250.85,6.45,25,A
202.67,7660.5,167,4.1575,3.0846,1.2167,250.85,5.26,25,A
180.73,7676.6,167,4.0681,3.1293,1.2,250.85,4.46,25,A
160.85,7676.6,167,4.1575,4.1575,1.2333,252.07,3.56,25,A
148.08,7676.6,166,4.4704,3.7998,1.3333,252.07,2.76,25,A
149.32,7676.6,166,4.828,3.3975,1.4333,252.07,1.77,25,G
162.44,7692.6,166,4.9174,6.035,1.4333,252.07,1.37,25,A
168.39,7692.6,166,4.6939,8.1361,1.3833,252.68,1.87,25,A
170.2,7692.6,166,4.2469,8.1361,1.25,252.68,3.37,25,A
264.91,7692.6,166,3.7104,6.1244,1.0833,252.68,5.37,25,A
309.78,7708.7,166,3.3975,5.1857,1.0167,252.68,7.47,25,A
329.66,7708.7,166,3.1293,5.2304,0.91667,254.81,9.47,25,A
346.65,7708.7,166,3.0846,4.4257,0.9,254.81,11.48,25,A
339.57,7708.7,166,2.9058,3.3081,0.85,254.81,13.28,25,A
331.53,7708.7,165,2.861,3.8892,0.85,254.81,14.18,24.444,A
329.62,7724.8,165,2.9952,3.9339,0.85,255.73,14.28,24.444,A
305.62,7724.8,165,2.9505,2.9058,0.86667,255.73,13.58,24.444,A
297.65,7724.8,165,2.9505,2.9952,0.88333,255.73,12.58,24.444,A
294.73,7724.8,166,3.0399,3.3081,0.88333,255.73,11.88,24.444,A
293.71,7724.8,165,2.9505,2.9058,0.86667,257.56,11.98,24.444,A
289.71,7740.9,165,2.9058,2.5481,0.86667,257.56,11.98,24.444,A
287.74,7740.9,166,2.9058,2.9058,0.85,257.56,12.28,24.444,A
275.75,7740.9,166,2.861,2.6375,0.85,257.56,12.39,24.444,A
290.84,7740.9,166,2.9505,2.3246,0.88333,258.78,12.19,24.444,A
266.02,7740.9,166,3.174,3.0846,0.9,258.78,11.69,24.444,A
246.01,7740.9,166,3.0846,3.4869,0.95,258.78,11.39,24.444,A
245.96,7757,166,2.9505,2.2352,0.96667,258.78,11.09,24.444,A
240.14,7757,166,3.1293,2.6375,1.0333,259.99,10,24.444,A
234.28,7757,166,3.2634,1.9223,1.0833,259.99,9.1,24.444,A
241.51,7757,166,3.4869,1.7882,1.1333,259.99,8,24.444,A
244.51,7757,166,3.3975,1.6093,1.1167,259.99,8,24.444,A
241.36,7773.1,166,3.1293,1.8776,1.0333,260.91,9.01,24.444,A
244.38,7773.1,166,3.0846,2.5034,1.0167,260.91,9.91,24.444,A
246.44,7773.1,166,3.0846,2.0117,1.0167,260.91,10.51,24.444,A
250.47,7773.1,165,3.0399,0,1,260.91,10.81,24.444,A
254.53,7773.1,165,3.0399,0,1,261.82,10.82,24.444,A
255.56,7789.2,165,2.9952,0,0.98333,261.82,11.02,24.444,A
262.59,7789.2,166,2.9505,0,0.96667,261.82,11.62,24.444,A
250.57,7789.2,166,2.861,0,0.91667,261.82,12.13,24.444,A
278.39,7789.2,165,2.5928,0,0.91667,263.04,12.93,24.444,A
293.59,7789.2,165,2.7269,0,0.91667,263.04,13.63,24.444,A
301.7,7789.2,165,2.7716,0,0.9,263.04,14.34,24.444,A
309.73,7805.3,165,2.7269,0,0.9,263.04,14.94,24.444,A
312.86,7805.3,165,2.7716,0,0.9,263.96,15.25,24.444,A
321.9,7805.3,165,2.7269,0,0.9,263.96,15.75,24.444,A
342.93,7805.3,166,2.6822,0,0.88333,263.96,16.46,24.444,A
343.91,7805.3,166,2.5928,0,0.85,263.96,17.16,24.444,A
330,7805.3,165,2.5928,0,0.85,264.87,17.37,24.444,A
309.06,7821.4,165,2.6375,0,0.88333,264.87,16.87,24.444,A
295.28,7821.4,166,2.7269,0,0.91667,264.87,15.77,24.444,A
283.46,7821.4,166,2.7716,0,0.95,264.87,14.18,24.444,A
280.88,7821.4,165,2.9952,0,0.98333,265.79,12.88,24.444,A
277,7821.4,166,2.9952,0,1,265.79,12.29,24.444,A
285.12,7837.5,166,2.9952,0,1,265.79,11.99,24.444,A
277.17,7837.5,166,2.9505,1.4305,1,265.79,12,24.444,A
273.28,7837.5,166,2.9505,0,1.0167,267.92,11.9,24.444,A
298.65,7837.5,166,3.1293,1.6093,1.05,267.92,12.21,24.444,A
273.91,7837.5,166,3.2634,0,1.1,267.92,11.61,24.444,A
257.11,7853.6,166,3.3081,0,1.1,267.92,11.12,24.444,A
248.3,7853.6,166,3.3528,0,1.1,268.83,10.52,24.444,A
244.36,7853.6,166,3.3081,0,1.0667,268.83,9.63,24.444,A
235.33,7853.6,166,3.2187,0,1.05,268.83,9.33,24.444,A
222.37,7853.6,166,3.174,0,1.0833,268.83,8.84,24.444,A
197.79,7869.7,166,3.3528,0,1.1,270.36,8.04,24.444,A
197,7869.7,166,3.4422,2.3246,1.0167,270.36,7.14,24.444,A
190.36,7869.7,166,3.5763,2.4587,1.0667,270.36,5.95,24.444,A
189.96,7869.7,166,3.8445,2.2799,1.1667,270.36,4.75,24.444,A
195.49,7869.7,166,4.0681,3.8892,1.2167,271.88,4.45,24.444,A
196.9,7885.8,166,4.2022,4.2022,1.25,271.88,4.06,24.444,A
205.18,7885.8,166,4.2916,3.7551,1.25,271.88,4.36,24.444,A
209.28,7885.8,166,4.2916,4.7386,1.2667,271.88,5.17,24.444,A
216.42,7901.9,165,4.2916,4.5598,1.2667,272.49,5.47,24.444,A
218.6,7901.9,165,4.2916,2.7269,1.25,272.49,5.98,24.444,A
221.42,7901.9,165,4.1575,3.8445,1.2167,272.49,6.48,24.444,A
217.45,7901.9,165,4.1128,2.9952,1.2,272.49,6.59,24.444,A
229.64,7918,165,4.1575,3.5763,1.2167,273.41,6.89,24.444,A
230.73,7918,164,4.1575,4.381,1.2167,273.41,6.89,24.444,A
222.05,7918,164,4.2469,4.6939,1.2667,273.41,6,24.444,A
194.71,7918,164,4.4704,4.1575,1.2833,273.41,5.1,24.444,A
187.92,7934,164,4.5151,4.1575,1.1833,274.93,3.9,24.444,A
177.6,7934,165,4.7386,4.5151,1.2333,274.93,2.61,24.444,A
171.1,7934,164,4.9174,4.7833,1.2667,274.93,1.91,24.444,A
169.58,7950.1,164,5.0515,4.6045,1.3,274.93,1.62,24.444,A
182.16,7950.1,164,5.2304,4.8727,1.35,276.15,1.62,24.444,A
192.55,7950.1,163,5.3645,5.9903,1.3833,276.15,1.82,24.444,A
199.04,7966.2,163,5.4986,5.4092,1.4167,276.15,2.13,24.444,A
199.11,7966.2,163,5.4986,4.7833,1.4,276.15,2.83,24.444,A
217.06,7966.2,164,5.4092,3.6657,1.3833,276.76,3.73,24.444,A
212.58,7982.3,163,5.1857,3.4422,1.45,276.76,5.04,24.444,A
230.97,7982.3,163,4.9174,3.4422,1.45,276.76,6.44,24.444,A
251.78,7982.3,163,4.7833,3.0399,1.4,276.76,7.44,24.444,A
259.52,7982.3,163,4.6492,2.6375,1.3667,276.76,7.94,24.444,A
266.56,7998.4,163,4.6045,1.5646,1.35,276.76,8.15,24.444,A
256.54,7998.4,163,4.5598,0,1.3333,276.76,7.75,24.444,A
235.64,7998.4,163,4.5598,1.7435,1.3333,276.76,6.95,24.444,A
208.95,8014.5,163,4.6045,0,1.3667,278.59,5.66,24.444,A
197.41,8014.5,162,4.7386,3.2187,1.4167,278.59,4.46,24.444,A
188.94,8014.5,162,4.8727,2.9952,1.4167,278.59,3.87,24.444,A
187.87,8014.5,162,4.7833,3.0846,1.4,278.59,4.07,24.444,A
179.58,8030.6,163,4.6492,2.6822,1.35,280.11,4.47,24.444,A
181.23,8030.6,162,4.4704,0,1.3,280.11,5.18,24.444,A
179.16,8030.6,162,4.4257,1.6987,1.25,280.11,5.68,24.444,A
199.05,8046.7,162,4.3363,2.1905,1.2667,280.11,5.79,24.444,A
206.36,8046.7,161,4.4257,2.0117,1.3,280.72,5.89,24.444,A
208.63,8046.7,162,4.4704,2.8163,1.3333,280.72,5.69,23.889,A
224.07,8046.7,162,4.6045,3.1293,1.3667,280.72,5.49,23.889,A
230.6,8062.8,161,4.7386,3.5316,1.4,280.72,5.1,23.889,A
227.93,8062.8,161,4.828,3.2187,1.4167,282.24,5,23.889,A
215.99,8062.8,161,4.828,3.0846,1.4,282.24,4.9,23.889,A
205.93,8078.9,161,4.7833,2.861,1.4,282.24,4.8,23.889,A
207.85,8078.9,161,4.7386,2.7269,1.3833,282.24,5,23.889,A
219.91,8078.9,160,4.7386,3.7551,1.3833,283.77,5.31,23.889,A
218.83,8095,161,4.6939,2.861,1.3667,283.77,5.51,23.889,A
216.75,8095,161,4.6492,2.9505,1.35,283.77,5.81,23.889,A
220.54,8095,161,4.5598,2.414,1.3333,283.77,6.01,23.889,A
229.45,8095,160,4.5151,0,1.3,285.6,6.51,23.889,A
238.89,8111.1,161,4.2916,1.9223,1.25,285.6,7.42,23.889,A
247.5,8111.1,160,4.1575,0,1.2,285.6,8.32,23.889,A
225.72,8111.1,161,3.8892,0,1.1167,285.6,8.92,23.889,A
249.99,8111.1,160,3.621,0,1.0667,286.82,9.72,23.889,A
275.86,8127.2,160,3.5763,0,1.0333,286.82,10.63,23.889,A
299.04,8127.2,161,3.3081,1.3411,0.95,286.82,11.83,23.889,A
322.32,8127.2,160,3.0846,0,0.9,286.82,13.83,23.889,A
357.28,8127.2,161,3.0846,0,0.9,288.04,15.63,23.889,E
351,8127.2,161,2.9952,0,0.88333,288.04,16.53,23.889,E
345.9,8143.3,160,2.9505,0,0.86667,288.04,16.33,23.889,E
342.22,8143.3,160,3.0399,0,0.88333,288.04,15.73,23.889,E
339.15,8143.3,160,2.9952,0,0.88333,289.56,14.83,23.889,E
325.34,8143.3,161,3.0399,0,0.9,289.56,14.04,23.889,A
313.51,8143.3,161,3.0846,0,0.9,289.56,13.54,23.889,A
303.55,8143.3,161,3.0846,0,0.9,289.56,13.04,23.889,A
307.3,8159.4,161,2.9952,0,0.88333,291.08,12.84,23.889,A
300.47,8159.4,161,3.0399,1.3858,0.88333,291.08,12.64,23.889,A
300.34,8159.4,162,2.9952,0,0.88333,291.08,12.94,23.889,A
289.35,8159.4,162,2.9952,0,0.88333,291.08,12.64,23.889,A
289.53,8159.4,162,3.0399,1.3858,0.88333,292.61,12.04,23.889,A
292.54,8175.4,162,3.0399,0,0.91667,292.61,12.34,23.889,A
293.72,8175.4,163,3.0846,1.5646,0.9,292.61,12.04,23.889,A
296.73,8175.4,163,3.0846,0,0.9,292.61,12.34,23.889,A
299.59,8175.4,162,3.0399,0,0.9,294.13,12.95,23.889,A
301.47,8175.4,163,2.9952,0,0.88333,294.13,12.95,23.889,A
299.48,8191.5,163,2.9952,0,0.86667,294.13,13.25,23.889,A
303.2,8191.5,163,2.9058,1.7435,0.86667,294.13,13.75,23.889,A
301.38,8191.5,164,2.9505,1.6987,0.86667,294.74,13.45,23.889,A
312.69,8191.5,164,3.0399,0,0.88333,294.74,13.35,23.889,A
314.69,8191.5,164,3.0399,0,0.88333,294.74,13.85,23.889,A
319.43,8191.5,165,2.9505,1.6093,0.86667,294.74,13.85,23.889,A
317.44,8207.6,165,2.9505,0,0.86667,296.88,14.05,23.889,A
321.45,8207.6,165,2.9505,0,0.86667,296.88,14.56,23.889,A
312.34,8207.6,166,2.9058,0,0.86667,296.88,14.06,23.889,A
305.53,8207.6,166,2.9505,0,0.85,296.88,13.36,23.889,A
315.54,8207.6,166,2.9505,0,0.85,298.4,13.56,23.889,A
311.27,8223.7,166,2.861,0,0.85,298.4,13.36,23.889,A
303.58,8223.7,166,2.9505,0,0.86667,298.4,13.06,23.889,A
299.58,8223.7,167,2.9505,0,0.86667,298.4,13.26,23.889,A
310.73,8223.7,167,2.9952,1.4752,0.9,300.84,13.16,23.889,A
271.62,8223.7,167,3.2634,2.0117,0.96667,300.84,12.66,23.889,A
261.33,8239.8,167,3.174,0,1.0167,300.84,12.76,23.889,A
244.34,8239.8,167,3.174,0,1.0333,300.84,12.26,23.889,A
233.39,8239.8,167,3.174,0,1.05,302.36,10.96,23.889,A
235.55,8239.8,167,3.2187,0,1.0667,302.36,10.36,23.889,A
235.86,8239.8,167,3.3081,0,1.1,302.36,9.26,23.889,A
237.02,8255.9,167,3.3528,0,1.1167,302.36,8.76,23.889,A
235,8255.9,166,3.3528,0,1.1,304.19,8.86,23.889,A
238.99,8255.9,166,3.3528,0,1.1,304.19,8.86,23.889,A
241.96,8255.9,166,3.3528,0,1.1167,304.19,9.26,23.889,A
245.93,8255.9,166,3.3528,0,1.1,304.19,9.56,23.889,A
257.91,8272,166,3.3528,0,1.1,305.71,9.86,23.889,A
262.87,8272,166,3.3528,0,1.1,305.71,10.15,23.889,A
263.84,8272,166,3.3528,0,1.1,305.71,10.35,23.889,A
263.53,8272,166,3.2634,1.3858,1.0833,305.71,10.65,23.889,A
257.37,8272,166,3.2187,0,1.05,306.63,10.55,23.889,A
260.21,8288.1,166,3.174,0,1.0333,306.63,10.75,23.889,A
265.04,8288.1,166,3.1293,0,1.0333,306.63,10.95,23.889,A
267.03,8288.1,165,3.1293,0,1.0333,306.63,10.85,23.889,A
266.3,8288.1,166,3.2187,0,1.0667,308.15,10.85,23.889,A
262.59,8288.1,165,3.3081,0,1.1,308.15,10.35,23.889,A
266.58,8304.2,165,3.3081,0,1.0833,308.15,10.25,23.889,A
270.28,8304.2,165,3.2187,0,1.0833,308.15,10.65,23.889,A
272.12,8304.2,165,3.174,0,1.0667,307.85,11.15,23.889,A
278.95,8304.2,165,3.1293,0,1.0333,307.85,11.85,23.889,A
281.95,8304.2,166,3.1293,0,1.0167,307.85,12.15,23.889,A
285.82,8320.3,165,3.0846,0,1.0167,307.85,12.15,23.889,A
288.99,8320.3,165,3.1293,0,1.05,308.46,11.95,23.889,A
294.13,8320.3,165,3.174,0,1.0333,308.46,12.05,23.889,A
289.01,8320.3,165,3.1293,0,1.0333,308.46,11.95,23.889,A
286.05,8320.3,165,3.1293,0,1.0167,308.46,11.65,23.889,A
287.92,8336.4,165,3.0846,0,1.0167,309.68,12.15,23.889,A
283.94,8336.4,166,3.0846,0,1.0167,309.68,11.95,23.889,A
273.97,8336.4,166,3.0846,0,1.0167,309.68,11.65,23.889,A
269.01,8336.4,166,3.0846,1.8776,1.0167,309.68,11.36,23.889,A
263.04,8336.4,166,3.0846,0,1.0167,311.2,10.86,23.889,A
261.08,8336.4,166,3.0846,1.5646,1.0167,311.2,10.56,23.889,A
264.08,8352.5,165,3.0846,2.0117,1.0167,311.2,10.86,23.889,A
264.95,8352.5,166,3.0399,2.1905,1,311.2,11.06,23.889,A
261.82,8352.5,165,2.9952,0,1,313.33,11.06,23.889,A
264.97,8352.5,165,3.0399,0,1,313.33,11.36,23.333,A
267.83,8352.5,165,2.9952,0,1,313.33,11.46,23.333,A
270.83,8368.6,165,2.9952,0,1,313.33,11.66,23.333,A
280.82,8368.6,165,2.9952,0,0.98333,315.77,12.16,23.333,A
282.65,8368.6,165,2.9505,0,0.96667,315.77,12.76,23.333,A
286.49,8368.6,166,2.9058,0,0.96667,315.77,13.06,23.333,A
294.47,8368.6,166,2.9058,0,0.95,315.77,13.46,23.333,A
297.46,8384.7,166,2.9058,3.6657,0.95,317.91,13.46,23.333,A
298.45,8384.7,166,2.9058,4.0233,0.95,317.91,13.56,23.889,A
303.42,8384.7,166,2.9058,3.4422,0.95,317.91,13.76,23.889,A
302.26,8384.7,166,2.861,4.6492,0.93333,317.91,13.66,23.333,A
297.25,8384.7,166,2.861,5.6327,0.93333,320.34,13.46,23.333,A
291.42,8384.7,166,2.9058,7.4208,0.96667,320.34,12.76,23.333,A
289.41,8400.8,166,2.9058,7.0185,0.95,320.34,12.26,23.333,A
282.26,8400.8,166,2.861,6.9291,0.95,320.34,11.66,23.333,A
277.24,8400.8,166,2.861,6.035,0.95,322.78,11.05,23.333,A
264.53,8400.8,166,2.9505,6.2138,0.98333,322.78,10.25,23.333,A
264.64,8400.8,167,2.9952,4.9174,1,322.78,9.75,23.333,A
267.89,8416.8,166,3.0846,4.0681,1.0167,322.78,9.55,23.333,A
269.58,8416.8,167,2.9952,3.5763,1,324.31,10.25,23.333,A
262.22,8416.8,167,2.9058,3.0846,0.91667,324.31,11.15,23.333,A
285.29,8416.8,166,2.6375,1.967,0.9,324.31,12.14,23.333,A
303.65,8416.8,166,2.7716,2.861,0.9,324.31,13.14,23.333,A
332.42,8416.8,166,2.7269,2.5034,0.88333,325.53,14.14,23.333,A
340.95,8432.9,167,2.5928,1.8776,0.86667,325.53,15.74,23.333,A
346.71,8432.9,167,2.5481,2.3693,0.83333,325.53,16.94,23.333,A
360.5,8432.9,167,2.5034,2.0117,0.83333,325.53,18.23,23.333,A
354.59,8432.9,167,2.5481,3.174,0.83333,327.05,18.73,23.333,A
356.41,8432.9,167,2.5034,3.5763,0.83333,327.05,19.03,23.333,A
356.5,8432.9,167,2.5481,2.5481,0.83333,327.05,18.63,23.333,A
346.2,8432.9,167,2.4587,3.4869,0.81667,327.05,18.22,23.333,A
333.62,8449,167,2.5928,3.4422,0.85,328.57,17.52,23.333,A
327.6,8449,167,2.5928,3.3528,0.86667,328.57,16.62,23.333,A
325.86,8449,168,2.6822,2.6375,0.86667,328.57,15.82,23.333,A
316.69,8449,168,2.6375,3.0399,0.86667,328.57,15.22,23.333,A
313.68,8449,168,2.6375,2.2352,0.86667,330.1,14.92,23.333,A
306.52,8449,168,2.5928,1.7882,0.85,330.1,15.01,23.333,A
298.47,8465.1,168,2.5928,0,0.85,330.1,14.91,23.333,A
293.31,8465.1,168,2.5481,0,0.85,330.1,14.81,23.333,A
305.28,8465.1,169,2.5481,0,0.85,330.71,15.31,23.333,A
313.36,8465.1,169,2.5928,1.6093,0.83333,330.71,15.81,23.333,A
313.05,8465.1,169,2.5034,1.7435,0.83333,330.71,16.3,23.333,A
314.14,8465.1,169,2.5481,0,0.81667,330.71,16.6,23.333,A
300.01,8481.2,169,2.5034,0,0.83333,332.23,16.2,23.333,A
301.14,8481.2,170,2.5481,0,0.83333,332.23,15.3,23.333,A
301.97,8481.2,170,2.5034,0,0.83333,332.23,15.4,23.333,A
303.09,8481.2,169,2.5481,0,0.85,332.23,15,23.333,A
287.34,8481.2,170,2.6375,0,0.86667,333.76,14.5,23.333,A
301.56,8481.2,170,2.7269,0,0.93333,333.76,14.39,23.333,A
260.68,8497.3,170,3.1293,0,1.0167,333.76,13.29,23.333,A
253.67,8497.3,170,3.1293,0,1.05,333.76,12.39,23.333,A
239.91,8497.3,170,3.2187,2.861,1.0667,335.28,11.59,23.333,A
235.92,8497.3,170,3.2187,3.3528,1.0667,335.28,10.29,23.333,A
238.9,8497.3,170,3.2187,3.2634,1.05,335.28,9.69,23.333,A
250.74,8513.4,170,3.174,3.0846,1.05,335.28,9.79,23.333,A
261.44,8513.4,170,3.0846,2.9952,1.0167,336.5,10.58,23.333,A
263.53,8513.4,169,3.1293,4.0233,1.0333,336.5,10.88,23.333,A
266.51,8513.4,170,3.1293,3.4422,1.0333,336.5,11.18,23.333,A
268.48,8513.4,169,3.1293,4.0233,1.0333,336.5,11.08,23.333,A
266.34,8529.5,169,3.0846,4.2469,1.0167,338.02,10.88,23.333,A
270.3,8529.5,169,3.0846,4.4704,1.0167,338.02,10.98,23.333,A
274.26,8529.5,169,3.0846,4.0681,1.0167,338.02,11.08,23.333,A
281.35,8529.5,170,3.1293,4.6492,1.0333,338.02,11.07,23.333,A
284.3,8529.5,169,3.1293,3.7998,1.0167,339.55,11.27,23.333,A
291.14,8545.6,169,3.0846,3.4869,1.0167,339.55,11.57,23.333,A
